Athlete Country,Horse Url,Horse Name,Discipline,Year of Birth,Sex,FEI ID Number,Colour,Breed,Owner,Groom,Athlete Url,Athlete Name,Sire,Second Owner
Denmark,../../../en/results/equestrian/horse-nh001724-jolene-hill.htm,JOLENE HILL,Equestrian,2008,Mare,106GA83,Grey,Danish Warmblood Society,S.K. AND T.K. KRISTIANSEN,JOERGENSEN LINE THORNING,../../../en/results/equestrian/athlete-profile-n1449574-jorgensen-tobias-thorning.htm,JORGENSEN Tobias Thorning,LINE THORNING JOERGENSEN,LINE THORNING JOERGENSEN
Denmark,../../../en/results/equestrian/horse-nh001725-leeds.htm,LEEDS,Equestrian,2010,Stallion,105BT93,Bay,Danish Warmblood Society,STUTTERI THY,SERUP EMILIA SKYDT,../../../en/results/equestrian/athlete-profile-n1449573-sunesen-susanne-jensby.htm,SUNESEN Susanne Jensby,"HELMER SUNESEN, SARA SUNESEN","HELMER SUNESEN, SARA SUNESEN"
Denmark,../../../en/results/equestrian/horse-nh001726-welldone-dallas.htm,WELLDONE DALLAS,Equestrian,2003,Gelding,104JX56,Chestnut,Hannoveraner Verband e. V.,"H-H. KRISTENSEN, J.D. BJELKE",W. SOERENSEN KITT E.,../../../en/results/equestrian/athlete-profile-n1449642-kristensen-katrine.htm,KRISTENSEN Katrine,"K. SORENSEN, S. KRISTENSEN","K. SORENSEN, S. KRISTENSEN"
Finland,../../../en/results/equestrian/horse-nh001727-dr-doolittle.htm,DR DOOLITTLE,Equestrian,2003,Gelding,104SP36,Chestnut,Hannoveraner Verband e. V.,KATJA KARJALAINEN,NYBERG NOORA,../../../en/results/equestrian/athlete-profile-n1301195-karjalainen-katja.htm,KARJALAINEN Katja,SARA MAATTOLA-LINDHOLM,SARA MAATTOLA-LINDHOLM
Finland,../../../en/results/equestrian/horse-nh001728-supremo.htm,SUPREMO,Equestrian,2009,Gelding,105YM71,Bay,Danish Warmblood Society,PIA-PAULIINA REITTI,TAKKULA TANJA,../../../en/results/equestrian/athlete-profile-n1365658-reitti-pia-pauliina.htm,REITTI Pia-Pauliina,,
France,../../../en/results/equestrian/horse-nh001731-quaterboy-lh.htm,QUATERBOY LH,Equestrian,2010,Gelding,106FT50,Chestnut,Hannoveraner Verband e. V.,ANNE FREDERIQUE ROYON,BERTRAND COURTIN,../../../en/results/equestrian/athlete-profile-n1360050-royon-anne-frederique.htm,ROYON Anne Frederique,BERTRAND COURTIN,BERTRAND COURTIN
France,../../../en/results/equestrian/horse-nh001732-rhapsodie.htm,RHAPSODIE,Equestrian,2005,Mare,104FZ48,Chestnut,Hannoveraner Verband e. V.,IFCE,GEOFFRAY PODSIEDLIK,../../../en/results/equestrian/athlete-profile-n1358303-gerny-celine.htm,GERNY Celine,ECOLE NATIONALE D EQUITATION,ECOLE NATIONALE D EQUITATION
France,../../../en/results/equestrian/horse-nh001733-swing-royal.htm,SWING ROYAL,Equestrian,2006,Gelding,103QZ89,Black,Hannoveraner Verband e. V.,IFCE,SEBASTIEN GOYHENEIX,../../../en/results/equestrian/athlete-profile-n1358326-zenati-chiara.htm,ZENATI Chiara,,
Great Britain,../../../en/results/equestrian/horse-nh001736-breezer.htm,BREEZER,Equestrian,2011,Gelding,106KU66,Bay,Unknown,LEE PEARSON,LEESE JANE,../../../en/results/equestrian/athlete-profile-n1706408-pearson-lee.htm,PEARSON Lee,,
Great Britain,../../../en/results/equestrian/horse-nh001737-c-fatal-attraction.htm,C FATAL ATTRACTION,Equestrian,2007,Gelding,104KK98,Dark Chestnut,Koninklijk Warmbloed Paardenstamboek Nederland,,LOCKWOOD Jade,,,,
Great Britain,../../../en/results/equestrian/horse-nh001739-don-cara-m.htm,DON CARA .M,Equestrian,2009,Gelding,106ZF86,Dark Bay,Nederlands Rijpaarden en Pony Stamboek,ROLAND KINCH,LOCKWOOD JADE,../../../en/results/equestrian/athlete-profile-n1706410-wells-sophie.htm,WELLS Sophie,,
Great Britain,../../../en/results/equestrian/horse-nh001741-keystone-dawn-chorus.htm,KEYSTONE DAWN CHORUS,Equestrian,2011,Mare,106QJ86,Bay,Hannoveraner Verband e. V.,"J. JENSEN, C. LANDOLT",BAKER LORRAINE,../../../en/results/equestrian/athlete-profile-n1706409-baker-natasha.htm,BAKER Natasha,"NATASHA BAKER, P BAKER","NATASHA BAKER, P BAKER"
Germany,../../../en/results/equestrian/horse-nh001745-feel-good-4.htm,FEEL GOOD 4,Equestrian,2004,Mare,104BS38,Black,Hannoveraner Verband e. V.,RV GUT AURIC E.V.,ANJA BOWITZ,../../../en/results/equestrian/athlete-profile-n1351021-zeibig-steffen.htm,ZEIBIG Steffen,,
Germany,../../../en/results/equestrian/horse-nh001748-highlander-delight-s.htm,HIGHLANDER DELIGHT'S,Equestrian,2012,Gelding,106RG19,Chestnut,Koninklijk Warmbloed Paardenstamboek Nederland,REGINE MISPELKAMP,NICOLE HOCHSTRAT,../../../en/results/equestrian/athlete-profile-n1365318-mispelkamp-regine.htm,MISPELKAMP Regine,SILKE FUTTERER-SOMMER,SILKE FUTTERER-SOMMER
Germany,../../../en/results/equestrian/horse-nh001750-responsible-for-me.htm,RESPONSIBLE FOR ME,Equestrian,2009,Mare,105AS15,Dark Bay,Hannoveraner Verband e. V.,,Silke Fleper,,,,
Germany,../../../en/results/equestrian/horse-nh001752-soyala.htm,SOYALA,Equestrian,2011,Mare,105YR93,Dark Bay,Hannoveraner Verband e. V.,SASKIA DEUTZ,JULIA AUGUSTIJN,../../../en/results/equestrian/athlete-profile-n1515954-deutz-saskia.htm,DEUTZ Saskia,,
"Hong Kong, China",../../../en/results/equestrian/horse-nh001753-baxo.htm,BAXO,Equestrian,2006,Gelding,103UT08,Roan,Czech Warmblood Breeders Association,HONG KONG JOCKEY CLUB,HO YUEN YAN ANNIE,../../../en/results/equestrian/athlete-profile-n1323074-tse-pui-ting-natasha.htm,TSE Pui Ting Natasha,,
"Hong Kong, China",../../../en/results/equestrian/horse-nh001754-caraat.htm,CARAAT,Equestrian,2007,Mare,105AV70,Black,Koninklijk Warmbloed Paardenstamboek Nederland,HONG KONG JOCKEY CLUB,POPPY JAMES,../../../en/results/equestrian/athlete-profile-n1321060-schrader-fleur.htm,SCHRADER Fleur,,
Ireland,../../../en/results/equestrian/horse-nh001757-cleverboy.htm,CLEVERBOY,Equestrian,2007,Gelding,105ME96,Black,Koninklijk Warmbloed Paardenstamboek Nederland,"M.MURPHY, B.WATSON, E.KLATZKO",MOLLIE ANNE SEARS,../../../en/results/equestrian/athlete-profile-n1303265-murphy-michael.htm,MURPHY Michael,"S. MURPHY, J. MURPHY","S. MURPHY, J. MURPHY"
Ireland,../../../en/results/equestrian/horse-nh001759-fahrenheit.htm,FAHRENHEIT,Equestrian,2011,Gelding,105SN70,Bay,Danish Warmblood Society,DR TAMSIN ADDISON,TIMOTEJ VARLEC,../../../en/results/equestrian/athlete-profile-n1305701-addison-tamsin.htm,ADDISON Tamsin,,
Ireland,../../../en/results/equestrian/horse-nh001760-serafina-t.htm,SERAFINA T,Equestrian,2011,Mare,106DE82,Bay,Anglo European Studbook,BROOMFIELD FARM,PAM KERR-HORAN,../../../en/results/equestrian/athlete-profile-n1307598-kerr-horan-kate.htm,KERR-HORAN Kate,,
Ireland,../../../en/results/equestrian/horse-nh001761-werona.htm,WERONA,Equestrian,2009,Mare,106HK10,Bay,Danish Warmblood Society,ROSEMARY JEAN GAFFNEY,SHANNON ROSE ACHESON O DRISCOLL,../../../en/results/equestrian/athlete-profile-n1307596-gaffney-rosemary-jean.htm,GAFFNEY Rosemary Jean,SUSAN SMALLMAN,SUSAN SMALLMAN
Italy,../../../en/results/equestrian/horse-nh001762-burberry.htm,BURBERRY,Equestrian,2006,Mare,105BY48,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,EINAGRIZ HORSES SRL,ANTONIO RAGNO,../../../en/results/equestrian/athlete-profile-n1678975-sileoni-federica.htm,SILEONI Federica,,
Italy,../../../en/results/equestrian/horse-nh001765-oliver-vitz.htm,OLIVER-VITZ,Equestrian,2008,Gelding,106JU68,Bay,Danish Warmblood Society,ALESSANDRA SALVADE,MICHELE CAPORRO,../../../en/results/equestrian/athlete-profile-n1678973-salvade-francesca.htm,SALVADE Francesca,"FRANCESCA SALVADE, NORMA PAOLI","FRANCESCA SALVADE, NORMA PAOLI"
Italy,../../../en/results/equestrian/horse-nh001766-paul.htm,PAUL,Equestrian,2005,Gelding,103FE60,Bay,Westfälisches Pferdestammbuch e.V.,"C. SEMPERBONI, D. COFANELLI",ALESSANDRO BENEDETTI,../../../en/results/equestrian/athlete-profile-n1678974-semperboni-carola.htm,SEMPERBONI Carola,FRANCESCA CAVAGLIA,FRANCESCA CAVAGLIA
Italy,../../../en/results/equestrian/horse-nh001767-royal-delight.htm,ROYAL DELIGHT,Equestrian,2005,Mare,103EQ15,Bay,Rheinisches Pferdestammbuch e.V.,"S. MEOLI, V. MORGANTI",VICTORIA MORGANTI,../../../en/results/equestrian/athlete-profile-n1678972-morganti-sara.htm,MORGANTI Sara,A. BENEDETTI,A. BENEDETTI
Japan,../../../en/results/equestrian/horse-nh001771-charmander.htm,CHARMANDER,Equestrian,2007,Gelding,105FB44,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,NARITA RIDING CLUB,MARTENS COEN WILHELMUS,../../../en/results/equestrian/athlete-profile-n1690015-miyaji-mitsuhide.htm,MIYAJI Mitsuhide,,
Japan,../../../en/results/equestrian/horse-nh001772-exclusive.htm,EXCLUSIVE,Equestrian,2009,Gelding,106SX39,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,NARITA RIDING CLUB,MARTENS COEN WILHELMUS,../../../en/results/equestrian/athlete-profile-n1690012-inaba-sho.htm,INABA Sho,,
Japan,../../../en/results/equestrian/horse-nh001774-hashtag.htm,HASHTAG,Equestrian,2012,Gelding,107HD02,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,YVET SCHRIJNEMAKERS,VAN GOLSTEIN BROUWERS BRITTT OHANNA,../../../en/results/equestrian/athlete-profile-n1690016-yoshigoe-soshi.htm,YOSHIGOE Soshi,,
Japan,../../../en/results/equestrian/horse-nh001775-huzette.htm,HUZETTE,Equestrian,2012,Mare,107EI62,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,NARITA RIDING CLUB,MARTENS COEN WILHELMUS,../../../en/results/equestrian/athlete-profile-n1690013-takashima-katsuji.htm,TAKASHIMA Katsuji,,
Saudi Arabia,../../../en/results/equestrian/horse-nh001780-godiva-dii.htm,GODIVA DII,Equestrian,2011,Mare,107GA62,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,KSA EQUESTRIAN FEDERATION,VAN'T HUL KIM,../../../en/results/equestrian/athlete-profile-n1309467-sharbatly-ahmed.htm,SHARBATLY Ahmed,,
Mexico,../../../en/results/equestrian/horse-nh001782-solemne.htm,SOLEMNE,Equestrian,2012,Stallion,106LT35,Bay,Pura Raza Español,ABELARDO MORALES PURON,JOEL MORENO GARCIA,../../../en/results/equestrian/athlete-profile-n1523677-trevino-fuerte-ignacio.htm,TREVINO FUERTE Ignacio,,
Netherlands,../../../en/results/equestrian/horse-nh001783-alphaville.htm,ALPHAVILLE,Equestrian,2005,Gelding,103FT79,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,F.HOSMAR,"VAN DER HORST, LIANNE",../../../en/results/equestrian/athlete-profile-n1710885-hosmar-frank.htm,HOSMAR Frank,A. HOSMAR-KEEKSTRA,A. HOSMAR-KEEKSTRA
Netherlands,../../../en/results/equestrian/horse-nh001784-caramba.htm,CARAMBA,Equestrian,2007,Gelding,106CA35,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,,"DE RUIJTER, Chantal",,,,
Netherlands,../../../en/results/equestrian/horse-nh001785-demantur.htm,DEMANTUR,Equestrian,2008,Gelding,105ER66,Chestnut,Koninklijk Warmbloed Paardenstamboek Nederland,RS2 DRESSAGE CENTER DE HORST,"VAN WINDEN, KATHLEEN",../../../en/results/equestrian/athlete-profile-n1710891-voets-sanne.htm,VOETS Sanne,,
Netherlands,../../../en/results/equestrian/horse-nh001786-findsley.htm,FINDSLEY,Equestrian,2010,Mare,105XP48,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,"A.VD HORST,J.VD HORST,L.DUIJM","VAN LUTTERVELT, CHANTAL",../../../en/results/equestrian/athlete-profile-n1710884-van-der-horst-rixt.htm,van der HORST Rixt,"L. SANDERS, P. SCHERPENZEEL","L. SANDERS, P. SCHERPENZEEL"
Netherlands,../../../en/results/equestrian/horse-nh001787-guetta.htm,GUETTA,Equestrian,2011,Gelding,105PQ19,Dark Bay,Koninklijk Warmbloed Paardenstamboek Nederland,,"VAN DER HORST, Lianne",,,,
Netherlands,../../../en/results/equestrian/horse-nh001788-rosenstolz.htm,ROSENSTOLZ,Equestrian,2006,Mare,104IC25,Dark Bay,Verband der Züchter des Oldenburger Pferdes e.V.,,"AALDERS, Rolina",,,,
Netherlands,../../../en/results/equestrian/horse-nh001790-webron.htm,WEBRON,Equestrian,2003,Gelding,106KS20,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,BORIS BRAAM,"HOLLAK, DANIELLE",../../../en/results/equestrian/athlete-profile-n1710887-de-reu-maud.htm,de REU Maud,,
Netherlands,../../../en/results/equestrian/horse-nh001791-winando.htm,WINANDO,Equestrian,2003,Gelding,103PS02,Chestnut,Koninklijk Warmbloed Paardenstamboek Nederland,,"MENKE, Angelique",,,,
Norway,../../../en/results/equestrian/horse-nh001793-aladdin.htm,ALADDIN,Equestrian,2008,Gelding,106HS29,Black,Danish Warmblood Society,JENS LASSE DOKKAN,NIELSEN METTE KLOSE,../../../en/results/equestrian/athlete-profile-n1630050-dokkan-jens-lasse.htm,DOKKAN Jens Lasse,,
Norway,../../../en/results/equestrian/horse-nh001796-la-costa-majlund.htm,LA COSTA MAJLUND,Equestrian,2011,Gelding,106UV38,Chestnut,Danish Warmblood Society,ELRID BIRKENES,ANDERSEN CHARLOTTE RASK,../../../en/results/equestrian/athlete-profile-n1646908-lubbe-ann-cathrin.htm,LUBBE Ann Cathrin,MOY SUSANNE BIRKENES,MOY SUSANNE BIRKENES
Portugal,../../../en/results/equestrian/horse-nh001798-convicto.htm,CONVICTO,Equestrian,2007,Gelding,104VC16,Grey,Assoc. Port. Criadores do Cavalo Puro Sangue Lus.,SUZETTE PREISWERK MOTA VEIGA,TERESA SILVESTRE,../../../en/results/equestrian/athlete-profile-n1307496-veiga-ana-isabel-mota.htm,VEIGA Ana Isabel Mota,,
South Africa,../../../en/results/equestrian/horse-nh001799-daturo-ii.htm,DATURO II,Equestrian,2006,Gelding,106HF46,Grey,Unknown,CAYLA VAN DER WALT,TRISHA BELL,../../../en/results/equestrian/athlete-profile-n1308633-van-der-walt-cayla.htm,van der WALT Cayla,CHRISTINE HEATHMAN,CHRISTINE HEATHMAN
South Africa,../../../en/results/equestrian/horse-nh001800-just-in-time.htm,JUST IN TIME,Equestrian,2011,Mare,107AU43,Bay,Verband der Züchter des Oldenburger Pferdes e.V.,KRISH  AND JOHNSON,CHRISTIAN HAAZEN,../../../en/results/equestrian/athlete-profile-n1308646-johnson-dwyer-philippa.htm,JOHNSON-DWYER Philippa,,
Singapore,../../../en/results/equestrian/horse-nh001801-banestro.htm,BANESTRO,Equestrian,2011,Stallion,105TS83,Bay,Hannoveraner Verband e. V.,"HUI'EN SU, HILARY",EUBEL JORG ALEXANDER VOLKER ROGER,../../../en/results/equestrian/athlete-profile-n1547450-tan-laurentia.htm,TAN Laurentia,,
Singapore,../../../en/results/equestrian/horse-nh001803-don-s-day-dream.htm,DON'S DAY DREAM,Equestrian,2001,Mare,103ZO21,Bay,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,MAXIMILIAN AND HEE KHOON TAN,STOHR KIM ALEXANDRA,../../../en/results/equestrian/athlete-profile-n1547227-tan-maximillian.htm,TAN Maximillian,"YEO HWEE, HAI","YEO HWEE, HAI"
Singapore,../../../en/results/equestrian/horse-nh001805-gambler.htm,GAMBLER,Equestrian,2011,Gelding,106VX03,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,LAWRENCE SOH ENG LIONG,PARES-SELDERS DIANA,../../../en/results/equestrian/athlete-profile-n1547620-foo-gemma-rose-jen.htm,FOO Gemma Rose Jen,SERENE TOH SOO LING,SERENE TOH SOO LING
Switzerland,../../../en/results/equestrian/horse-nh001807-amigo.htm,AMIGO,Equestrian,2005,Gelding,106IH63,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,"GENICLA GMBH, ROMUALD KAISER",STRAESSLE MARION,../../../en/results/equestrian/athlete-profile-n1521514-geiger-nicole.htm,GEIGER Nicole,,
Sweden,../../../en/results/equestrian/horse-nh001808-fabulous-fidelie.htm,FABULOUS FIDELIE,Equestrian,2012,Mare,106LO92,Chestnut,Swedish Warmblood Association,LENA MALMSTROM,ETZNER HANNA,../../../en/results/equestrian/athlete-profile-n1553448-malmstrom-lena.htm,MALMSTROM Lena,,
Sweden,../../../en/results/equestrian/horse-nh001809-goldstrike-b-j-.htm,GOLDSTRIKE B.J.,Equestrian,2011,Gelding,107DC63,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,LOUISE ETZNER JAKOBSSON,ETZNER HANNA,../../../en/results/equestrian/athlete-profile-n1553416-etzner-jakobsson-louise.htm,ETZNER JAKOBSSON Louise,,
United States of America,../../../en/results/equestrian/horse-nh001811-clarc.htm,CLARC,Equestrian,2007,Gelding,104SQ23,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,ELIZABETH DE LAVALETTE,MEGAN ANN TYE,../../../en/results/equestrian/athlete-profile-n1690584-de-lavalette-beatrice.htm,de LAVALETTE Beatrice,NICOLAS DE LAVALETTE,NICOLAS DE LAVALETTE
United States of America,../../../en/results/equestrian/horse-nh001812-dolton.htm,DOLTON,Equestrian,2012,Gelding,105WO77,Black,Hannoveraner Verband e. V.,FLINTWOODE FARMS LLC,ANGELA BAUGH,../../../en/results/equestrian/athlete-profile-n1690590-trunnell-roxanne.htm,TRUNNELL Roxanne,KARIN FLINT,KARIN FLINT
United States of America,../../../en/results/equestrian/horse-nh001814-el-corona-texel.htm,EL CORONA TEXEL,Equestrian,2009,Gelding,104LA10,Bay,Koninklijk Warmbloed Paardenstamboek Nederland,ROWAN O'RILEY,KJERSTEN LANCE,../../../en/results/equestrian/athlete-profile-n1690589-hart-rebecca.htm,HART Rebecca,,
United States of America,../../../en/results/equestrian/horse-nh001820-solitaer-40.htm,SOLITAER 40,Equestrian,2007,Gelding,104YU87,Black,Hannoveraner Verband e. V.,"KATE, CRAIG, AND DEENA SHOEMAKER",ALEXUS SISLEY,../../../en/results/equestrian/athlete-profile-n1708940-shoemaker-kate.htm,SHOEMAKER Kate,,
France,../../../en/results/equestrian/horse-nh001833-fidertanz-for-rosi.htm,FIDERTANZ FOR ROSI,Equestrian,2013,Gelding,106MF38,Dark Bay,Verband der Züchter des Oldenburger Pferdes e.V.,"MAUD VINCHON, VLADIMIR VINCHON",VERONIQUE MARGRIN,../../../en/results/equestrian/athlete-profile-n1358325-vinchon-vladimir.htm,VINCHON Vladimir,,
Great Britain,../../../en/results/equestrian/horse-nh001836-sakura.htm,SAKURA,Equestrian,2014,Mare,107FD17,Chestnut,Verband der Züchter des Oldenburger Pferdes e.V.,"GEOFF WILSON, GEORGIA WILSON",WALSH ELIZABETH,../../../en/results/equestrian/athlete-profile-n1706413-wilson-georgia.htm,WILSON Georgia,JULIE WILSON,JULIE WILSON
Germany,../../../en/results/equestrian/horse-nh001837-la-boum-20.htm,LA BOUM 20,Equestrian,2013,Mare,106GV68,Dark Chestnut,Hannoveraner Verband e. V.,HEIDEMARIE DRESING,SILKE FLEPER,../../../en/results/equestrian/athlete-profile-n1365183-dresing-heidemarie.htm,DRESING Heidemarie,,
Latvia,../../../en/results/equestrian/horse-nh001838-king-of-the-dance.htm,KING OF THE DANCE,Equestrian,2008,Gelding,104SX01,Bay,Not Listed,IRINA ANDRUSA,KRAUZE KARINA,../../../en/results/equestrian/athlete-profile-n1343863-snikus-rihards.htm,SNIKUS Rihards,,
,../../../en/results/equestrian/horse-nh001839-laurentio-ii.htm,LAURENTIO II,Equestrian,2004,Gelding,102ZA54,Bay,Verband der Züchter des Oldenburger Pferdes e.V.,ALEXANDR KOLOSOV,KOSHELEVA EKATERINA,../../../en/results/equestrian/athlete-profile-n1383085-kolosov-vladislav.htm,KOLOSOV Vladislav,,
